"행정구역별(1)",행정구역별(2),2017 1/2,2017 2/2,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"전국",소계,-,-,59.4,60.0,59.9,60.0,60.1,59.8,58.8,58.9,59.3,59.6,59.8,60.5,60.5,60.6,60.8
"서울특별시",소계,-,-,59.3,60.3,60.5,60.5,60.8,60.1,58.5,59.2,60.0,59.9,59.9,60.5,60.0,60.0,60.2
"부산광역시",소계,-,-,55.3,55.6,55.9,56.1,56.1,55.3,54.2,54.3,54.5,55.9,56.1,56.7,56.3,56.2,56.3
"대구광역시",소계,-,-,57.7,58.7,58.3,57.9,57.3,56.5,56.4,57.0,56.8,58.4,57.9,58.7,59.4,59.3,58.8
"인천광역시",소계,-,-,59.2,59.2,58.9,59.5,60.0,59.3,59.2,59.6,60.7,61.6,61.3,61.3,61.1,61.8,61.7
"광주광역시",소계,-,-,54.8,55.4,56.0,55.7,56.7,56.4,56.4,56.9,56.6,56.4,57.2,58.8,58.5,58.1,59.0
"대전광역시",소계,-,-,57.2,57.0,55.8,56.2,56.7,57.2,56.7,56.4,56.9,57.3,57.5,59.1,59.6,59.7,58.9
"울산광역시",소계,-,-,59.2,59.8,59.0,58.1,59.6,60.3,58.7,59.1,59.8,59.8,59.0,58.3,59.0,59.0,59.8
"세종특별자치시",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.2
"경기도",소계,-,-,59.8,60.7,60.5,60.7,60.5,60.5,59.2,59.2,59.3,59.8,60.2,61.6,61.7,61.7,62.1
"경기도",수원시,57.9,58.1,-,-,-,-,-,56.2,56.5,57.4,-,-,-,-,-,-,-
"경기도",성남시,58.2,58.2,-,-,-,-,-,57.1,56.9,54.9,-,-,-,-,-,-,-
"경기도",의정부시,54.9,54.8,-,-,-,-,-,57.1,54.2,53.5,-,-,-,-,-,-,-
"경기도",안양시,60.0,58.0,-,-,-,-,-,54.5,53.8,55.8,-,-,-,-,-,-,-
"경기도",부천시,58.3,57.3,-,-,-,-,-,59.5,57.8,56.5,-,-,-,-,-,-,-
"경기도",광명시,56.8,58.9,-,-,-,-,-,58.2,56.1,55.0,-,-,-,-,-,-,-
"경기도",평택시,59.3,61.4,-,-,-,-,-,58.9,59.1,56.3,-,-,-,-,-,-,-
"경기도",동두천시,54.5,55.1,-,-,-,-,-,54.7,54.2,52.6,-,-,-,-,-,-,-
"경기도",안산시,60.5,59.0,-,-,-,-,-,58.8,56.5,56.9,-,-,-,-,-,-,-
"경기도",고양시,55.4,55.7,-,-,-,-,-,57.2,55.2,53.4,-,-,-,-,-,-,-
"경기도",과천시,54.9,53.0,-,-,-,-,-,52.6,52.0,51.5,-,-,-,-,-,-,-
"경기도",구리시,57.7,57.7,-,-,-,-,-,56.3,56.4,53.6,-,-,-,-,-,-,-
"경기도",남양주시,55.7,55.0,-,-,-,-,-,54.3,54.0,53.4,-,-,-,-,-,-,-
"경기도",오산시,60.7,63.1,-,-,-,-,-,59.7,57.4,57.9,-,-,-,-,-,-,-
"경기도",시흥시,60.6,59.0,-,-,-,-,-,58.3,59.5,57.5,-,-,-,-,-,-,-
"경기도",군포시,58.3,57.6,-,-,-,-,-,56.4,54.8,57.3,-,-,-,-,-,-,-
"경기도",의왕시,56.6,58.6,-,-,-,-,-,55.3,54.0,53.4,-,-,-,-,-,-,-
"경기도",하남시,60.6,60.2,-,-,-,-,-,56.6,55.2,54.6,-,-,-,-,-,-,-
"경기도",용인시,55.6,55.5,-,-,-,-,-,55.3,51.8,52.6,-,-,-,-,-,-,-
"경기도",파주시,59.1,58.2,-,-,-,-,-,59.3,59.6,55.2,-,-,-,-,-,-,-
"경기도",이천시,64.8,64.1,-,-,-,-,-,64.1,59.2,59.4,-,-,-,-,-,-,-
"경기도",안성시,61.9,65.0,-,-,-,-,-,60.5,58.2,59.2,-,-,-,-,-,-,-
"경기도",김포시,62.2,57.0,-,-,-,-,-,62.0,58.8,57.9,-,-,-,-,-,-,-
"경기도",화성시,64.4,62.7,-,-,-,-,-,66.2,61.8,62.4,-,-,-,-,-,-,-
"경기도",광주시,60.4,61.2,-,-,-,-,-,58.8,58.2,57.0,-,-,-,-,-,-,-
"경기도",양주시,57.5,56.5,-,-,-,-,-,60.7,59.4,60.2,-,-,-,-,-,-,-
"경기도",포천시,60.7,59.4,-,-,-,-,-,63.0,59.1,59.4,-,-,-,-,-,-,-
"경기도",여주시,60.9,58.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"경기도",경기 여주군,-,-,-,-,-,-,-,60.8,61.6,60.3,-,-,-,-,-,-,-
"경기도",연천군,57.6,63.4,-,-,-,-,-,60.5,56.3,60.2,-,-,-,-,-,-,-
"경기도",가평군,63.8,58.0,-,-,-,-,-,60.2,61.1,63.3,-,-,-,-,-,-,-
"경기도",양평군,57.9,58.2,-,-,-,-,-,58.9,57.7,60.4,-,-,-,-,-,-,-
"강원도",소계,-,-,57.2,58.0,57.6,58.3,57.6,57.6,57.5,56.0,56.2,56.9,56.3,56.9,57.9,58.2,61.0
