"시도별","지출목적별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"전국","0 총지수",73.695,76.341,78.444,80.202,82.235,86.079,88.452,91.051,94.717,96.789,98.048,99.298,100.00,100.97,102.93
"서울특별시","0 총지수",73.228,76.080,78.072,79.685,81.773,85.176,87.686,90.146,93.586,95.908,97.245,98.761,100.00,101.18,103.20
"부산광역시","0 총지수",73.165,75.376,77.463,79.174,81.117,84.959,87.541,90.235,94.258,96.514,97.938,99.168,100.00,101.18,102.99
"대구광역시","0 총지수",73.982,76.161,78.121,79.904,81.792,85.724,87.742,90.223,93.967,96.268,97.859,99.263,100.00,101.00,103.06
"인천광역시","0 총지수",74.133,76.710,78.661,80.543,82.417,86.475,88.782,91.593,94.723,96.602,97.648,99.018,100.00,100.85,102.77
"광주광역시","0 총지수",73.432,76.542,78.869,80.636,82.739,86.663,88.852,91.468,95.195,96.896,98.148,99.723,100.00,100.92,103.03
"대전광역시","0 총지수",74.168,76.999,79.249,81.269,83.264,87.187,89.168,91.894,96.015,97.930,98.896,99.802,100.00,100.68,102.35
"울산광역시","0 총지수",72.650,75.422,77.737,79.869,82.143,86.419,88.427,91.235,94.869,96.905,98.375,99.543,100.00,100.99,102.86
"경기도","0 총지수",73.753,76.299,78.414,80.328,82.341,86.313,88.816,91.358,94.867,96.871,98.054,99.266,100.00,100.94,102.97
"강원도","0 총지수",74.229,77.086,79.819,81.635,83.537,87.981,89.650,92.357,96.360,98.223,99.289,99.964,100.00,100.79,102.80
"충청북도","0 총지수",73.998,76.450,78.846,80.633,82.827,87.078,89.200,91.822,95.870,97.753,98.979,100.154,100.00,100.57,102.58
"충청남도","0 총지수",73.578,76.447,78.901,80.920,82.939,87.022,89.396,92.083,95.859,98.155,99.321,99.784,100.00,100.69,102.64
"전라북도","0 총지수",73.564,76.407,78.510,80.224,82.194,86.224,88.736,91.644,95.652,97.737,98.916,100.029,100.00,100.54,102.40
"전라남도","0 총지수",74.137,76.743,78.770,80.412,82.400,86.339,88.748,91.709,95.813,97.715,99.040,100.033,100.00,100.94,103.08
"경상북도","0 총지수",74.131,76.636,78.910,80.739,82.718,87.098,89.157,91.978,95.895,97.826,98.958,99.960,100.00,100.69,102.55
"경상남도","0 총지수",73.753,76.109,78.116,79.678,81.552,85.718,88.224,91.197,95.035,96.859,98.118,99.452,100.00,100.93,102.55
"제주특별자치도","0 총지수",74.778,77.774,79.723,81.258,82.992,87.236,88.817,91.819,95.760,96.929,98.270,99.365,100.00,101.29,103.62
