지 역,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년
전국,74.386,77.252,81.098,85.651,88.98,88.696,89.543,90.481,91.536,92.411,93.458,95.295,97.584,100.218,104.105
서울,69.582,72.422,77.176,84.253,89.209,88.317,89.549,90.022,90.892,91.236,92.337,94.795,97.344,100.239,104.564
부산,79.96,80.681,82.183,84.234,86.057,85.908,85.999,87.044,88.419,89.95,91.36,93.442,96.333,100.354,106.884
대구,75.397,76.58,79.12,82.43,84.83,84.445,84.685,85.872,87.072,88.451,89.935,92.766,96.532,100.327,104.922
인천,73.482,76.653,80.438,84.927,89.046,90.262,92.056,93.378,93.993,94.428,95.25,96.536,98.419,100.129,103.231
광주,86.7,87.3,88.928,90.209,91.058,90.244,90.544,91.147,91.831,92.888,93.582,94.81,97.53,100.284,104.47
대전,76.404,78.12,83.435,86.9,88.188,87.333,87.56,88.918,90.223,91.354,92.278,93.98,96.905,100.246,103.617
울산,81.16,82.623,84.326,86.803,89.323,89.073,89.346,90.004,90.989,92.487,93.752,95.486,97.893,100.194,103.743
경기,73.108,77.585,81.968,86.13,89.77,89.529,90.619,91.963,93.315,94.284,95.144,96.321,97.99,100.176,103.632
강원,80.255,82.076,84.237,86.36,87.796,88.128,88.429,89.173,90.436,92.055,93.243,94.891,97.398,100.246,104.073
충북,79.803,82.87,86.998,90.801,91.95,91.615,91.716,92.316,92.855,93.865,94.822,96.43,98.263,100.149,103.233
충남,70.653,78.885,85.452,90.191,92.019,91.911,92.147,93.217,93.927,94.753,95.49,96.813,98.277,100.142,103.129
전북,84.998,85.603,86.784,87.905,88.969,91.269,90.787,91.386,92.088,93.407,94.38,95.875,98.086,100.196,103.529
전남,83.208,83.985,86.042,87.687,88.835,89.066,89.38,90.392,91.248,92.474,93.365,95.047,97.71,100.253,104.165
경북,80.922,82.626,84.439,86.564,88.02,87.904,88.33,89.341,90.334,91.595,92.961,95.209,97.733,100.217,103.314
경남,79.134,81.575,83.865,86.014,87.922,88.013,88.402,89.541,90.998,92.517,93.896,95.748,97.885,100.194,103.294
제주,-,-,-,77.87,79.172,79.156,79.312,80.163,80.899,81.91,83.078,86.175,92.697,100.42,105.9
